board_game_rank,title,year,geek_rating,avg_rating,num_voters
1,Gloomhaven,2017,8.622,9.02,13594
2,Pandemic Legacy: Season 1,2015,8.503,8.66,25056
3,Through the Ages: A New Story of Civilization,2015,8.315,8.64,11569
4,Twilight Struggle,2005,8.202,8.35,30645
5,Terraforming Mars,2016,8.192,8.38,23639
6,Star Wars: Rebellion,2016,8.17,8.49,12666
7,Scythe,2016,8.108,8.3,27306
8,Terra Mystica,2012,8.104,8.25,28589
9,Great Western Trail,2016,8.031,8.28,12390
10,7 Wonders Duel,2015,8.007,8.15,30525
11,The Castles of Burgundy,2011,8.004,8.12,30556
12,War of the Ring (Second Edition),2012,7.985,8.4,7895
13,Caverna: The Cave Farmers,2013,7.961,8.13,20543
14,Puerto Rico,2002,7.954,8.07,52184
15,Agricola,2007,7.927,8.03,52731
16,Mage Knight Board Game,2011,7.922,8.13,21136
17,Gaia Project,2017,7.913,8.71,3669
18,Arkham Horror: The Card Game,2016,7.905,8.27,11025
19,Viticulture Essential Edition,2015,7.9,8.17,10933
20,Blood Rage,2015,7.895,8.09,20071
21,Mansions of Madness: Second Edition,2016,7.89,8.22,11618
22,Mechs vs. Minions,2016,7.876,8.24,8761
23,Concordia,2013,7.873,8.07,14402
24,Through the Ages: A Story of Civilization,2006,7.862,8.04,16201
25,Star Wars: Imperial Assault,2014,7.861,8.15,14122
26,Orléans,2014,7.852,8.09,12080
27,Power Grid,2004,7.832,7.92,46076
28,A Feast for Odin,2016,7.818,8.21,7565
29,Eclipse,2011,7.818,7.98,22375
30,Food Chain Magnate,2015,7.817,8.22,6904
31,Kingdom Death: Monster,2015,7.797,8.94,4448
32,Robinson Crusoe: Adventures on the Cursed Island,2012,7.791,7.96,22498
33,Brass: Lancashire,2007,7.789,8.01,11356
34,The 7th Continent,2017,7.783,8.71,3861
35,Tzolk'in: The Mayan Calendar,2012,7.782,7.93,20862
36,Le Havre,2008,7.782,7.91,20987
37,Pandemic Legacy: Season 2,2017,7.773,8.57,3470
38,Android: Netrunner,2012,7.749,7.93,22442
39,The Voyages of Marco Polo,2015,7.739,7.97,12255
40,7 Wonders,2010,7.718,7.81,60186
41,Keyflower,2012,7.714,7.9,13903
