title,game_id,board_game_rank,game_matrix_id
Gloomhaven,174430,1,1
Pandemic Legacy: Season 1,161936,2,2
Through the Ages: A New Story of Civilization,182028,3,3
Twilight Struggle,12333,4,4
Terraforming Mars,167791,5,5
Star Wars: Rebellion,187645,6,6
Scythe,169786,7,7
Terra Mystica,120677,8,8
Great Western Trail,193738,9,9
7 Wonders Duel,173346,10,10
The Castles of Burgundy,84876,11,11
War of the Ring (Second Edition),115746,12,12
Caverna: The Cave Farmers,102794,13,13
Puerto Rico,3076,14,14
Agricola,31260,15,15
Mage Knight Board Game,96848,16,16
Gaia Project,220308,17,17
Arkham Horror: The Card Game,205637,18,18
Viticulture Essential Edition,183394,19,19
Blood Rage,170216,20,20
Mansions of Madness: Second Edition,205059,21,21
Mechs vs. Minions,209010,22,22
Concordia,124361,23,23
Through the Ages: A Story of Civilization,25613,24,24
Star Wars: Imperial Assault,164153,25,25
Orléans,164928,26,26
Power Grid,2651,27,27
A Feast for Odin,177736,28,28
Eclipse,11542,29,29
Food Chain Magnate,175914,30,30
Kingdom Death: Monster,55690,31,31
Robinson Crusoe: Adventures on the Cursed Island,121921,32,32
Brass: Lancashire,28720,33,33
The 7th Continent,180263,34,34
Tzolk'in: The Mayan Calendar,126163,35,35
Le Havre,35677,36,36
Pandemic Legacy: Season 2,221107,37,37
Android: Netrunner,124742,38,38
The Voyages of Marco Polo,171623,39,39
7 Wonders,68448,40,40
Keyflower,122515,41,41
Twilight Imperium: Fourth Edition,233078,42,42
Codenames,178900,43,43
T.I.M.E Stories,146508,44,44
Caylus,18602,45,45
Eldritch Horror,146021,46,46
Twilight Imperium (Third Edition),12493,47,47
Race for the Galaxy,28143,48,48
Lords of Waterdeep,110327,49,49
Five Tribes,157354,50,50
Dominant Species,62219,51,51
Fields of Arle,159675,52,52
El Grande,93,53,53
Patchwork,163412,54,54
Dominion: Intrigue,40834,55,55
Roll for the Galaxy,132531,56,56
Clank!: A Deck-Building Adventure,201808,57,57
Azul,230802,58,58
Spirit Island,162886,59,59
Star Wars: X-Wing Miniatures Game,103885,60,60
Dead of Winter: A Crossroads Game,150376,61,61
Battlestar Galactica: The Board Game,37111,62,62
Mombasa,172386,63,63
Clans of Caledonia,216132,64,64
